ENTREZ_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
5378,-0.132141167,5.006435583,-2.744463428,0.006989344,0.016895354,-3.468758031
4946,-0.132163333,13.04346333,-3.144070863,0.002098712,0.005894446,-2.369914617
84162,-0.132400333,4.323094667,-2.530915961,0.012665995,0.028291914,-4.002051841
202151,-0.133215667,3.8850775,-3.289296484,0.001317441,0.003928622,-1.939155927
203430,-0.133390833,5.649041083,-3.059084091,0.002737042,0.007438051,-2.614351136
9840,-0.13370925,6.109190792,-2.648372355,0.009171967,0.021366425,-3.713480265
63935,-0.133843667,7.470192833,-2.913855042,0.004257269,0.010971118,-3.018737378
378825,-0.134279167,4.65354175,-2.960992001,0.0036948,0.009694031,-2.889344321
341019 /// 100506627,-0.134358167,3.527887083,-3.288823278,0.001319473,0.003934145,-1.940585967
55966,-0.134641333,5.032555583,-3.677111625,0.000353803,0.001224625,-0.710697813
441733,-0.134866333,4.8205525,-3.622657457,0.000428142,0.001448705,-0.889868722
51778,-0.135027333,3.9163325,-4.253031508,4.19E-05,0.000180836,1.310298278
158381,-0.135571417,3.774093125,-3.976486752,0.0001198,0.000464901,0.311754744
123591,-0.13559,5.569814667,-2.524486537,0.012887884,0.028711335,-4.017509273
2257,-0.135641667,4.420635333,-3.160121316,0.0019949,0.005630811,-2.32311279
84940,-0.1356645,5.666589083,-3.279502111,0.001360103,0.004036223,-1.968719758
92521,-0.135884333,6.027737333,-2.689546716,0.008170642,0.01931347,-3.609564159
54986,-0.136202083,5.287897958,-3.413038519,0.000875748,0.002734869,-1.559355194
375775,-0.136275667,5.275165417,-3.139693872,0.002127881,0.00596794,-2.382642542
246330,-0.136656333,7.556997333,-2.448794204,0.01577428,0.034133663,-4.196821737
130540,-0.1367825,4.584564833,-3.81993493,0.000212575,0.000780227,-0.23071713
93550,-0.1368765,4.66365425,-2.8351825,0.005373665,0.013438154,-3.230675409
9423,-0.137133417,5.397111958,-2.34823377,0.020493324,0.042722576,-4.427390761
257364,-0.1373955,7.799753417,-2.925989084,0.004105411,0.010639929,-2.985600716
100169752,-0.137397833,3.70062925,-5.680878085,9.49E-08,7.33E-07,7.183868938
93621,-0.137435,12.95603083,-3.306070446,0.001247269,0.003738731,-1.888353878
129446,-0.137548167,3.941746417,-3.670241954,0.000362458,0.001250624,-0.733418769
440482,-0.137579333,5.340562667,-2.644098997,0.009282001,0.021594868,-3.724183808
221143,-0.137597167,8.063436083,-2.551326052,0.01198412,0.026953182,-3.952748648
