,logFC,AveExpr,t,P.Value,adj.P.Val,B
431707,0.315292593,-0.069425501,2.75069993,0.006648426,0.011044029,-3.7560928
54626,0.315284817,-0.060543428,4.24413626,3.75E-05,9.18E-05,1.087734764
883,0.315198399,-0.033827232,5.55920754,1.14E-07,4.02E-07,6.679246815
51147,0.315132592,-0.040859373,3.754901271,0.000244105,0.000523708,-0.691886178
27197,0.315122263,-0.020527438,3.452137417,0.000715435,0.001412599,-1.702045503
4654,0.315103735,-0.047827436,3.714171596,0.000283182,0.000601003,-0.831939198
64792,0.315079716,-0.057204414,2.77784975,0.00614176,0.01026081,-3.684325354
146779 /// 102724660,0.314976963,-0.025139887,4.344081758,2.51E-05,6.31E-05,1.472710534
93611,0.314933551,-0.036941625,3.592873575,0.000437594,0.0008994,-1.241422804
8669,0.314933057,-0.03471264,2.644674363,0.009010732,0.014580712,-4.030213555
26993,0.314931582,-0.051077667,5.223093263,5.54E-07,1.78E-06,5.14743107
10061,0.314761777,-0.059397932,3.932587922,0.000125978,0.000284239,-0.066100717
23432,0.314733412,-0.016819895,2.769924201,0.006285911,0.010482428,-3.705341666
26100,0.31471711,0.008046401,4.259283739,3.53E-05,8.67E-05,1.145625669
147965,0.314700422,-0.012112142,2.268363842,0.024674998,0.036578649,-4.922787607
2543,0.314663238,-0.055034103,3.320955049,0.001116582,0.002131364,-2.117145911
283576,0.314631248,-0.04332322,5.523601767,1.36E-07,4.71E-07,6.513903471
347088,0.314581492,-0.0324536,2.67471391,0.008274436,0.013476988,-3.953545687
54748,0.314573358,-0.039722047,5.198501729,6.20E-07,1.98E-06,5.037960556
100506325,0.31445173,0.013965945,2.314577436,0.021936471,0.032832675,-4.8200197
91522,0.314232266,-0.033996684,2.863987308,0.004757958,0.00814103,-3.452415692
149603,0.314229117,-0.069481428,7.824291355,7.14E-13,4.65E-12,18.43640941
58512,0.314225901,-0.033559815,5.369836117,2.80E-07,9.31E-07,5.808137164
51807,0.314217471,-0.021968932,5.311096325,3.69E-07,1.21E-06,5.54213769
63905,0.314041277,-0.043112577,3.437416126,0.000752557,0.001480418,-1.749317768
10382,0.313672084,-0.051870368,3.337948871,0.001054774,0.002022914,-2.064156287
60401,0.313531196,-0.024517395,3.761753201,0.000238055,0.000511933,-0.668199864
7766,0.313417631,-0.038205843,2.920733357,0.004008801,0.006952168,-3.296156431
388882,0.313385802,-0.035663865,4.772727762,4.14E-06,1.18E-05,3.201833317
93408,0.313247424,-0.030563912,4.439698078,1.69E-05,4.38E-05,1.847570704
6168,0.31305918,-0.043605893,3.229319455,0.001512292,0.00282316,-2.398822089
101927604,0.313044969,-0.035543549,4.871413559,2.69E-06,7.86E-06,3.617218754
6142 /// 26780,0.312924527,-0.027377533,4.880865289,2.58E-06,7.57E-06,3.657331746
7287,0.31291428,-0.029500324,4.617663734,8.05E-06,2.19E-05,2.56201072
339168,0.312842046,-0.03027855,4.380886108,2.16E-05,5.48E-05,1.616246899
56882,0.312789093,0.000684195,3.703543996,0.000294312,0.000622572,-0.868272952
6158 /// 102465483,0.312579413,-0.030100947,4.277206969,3.28E-05,8.11E-05,1.214335713
100506108,0.31254487,-0.024129672,4.091737246,6.84E-05,0.000161015,0.514460652
54676,0.312515644,-0.02193102,3.975911573,0.000106856,0.00024348,0.090082343
286151,0.312473409,-0.048931564,3.74113864,0.000256699,0.000548684,-0.739353097
91582,0.31240886,-0.021185342,2.954984618,0.003610616,0.006302591,-3.200510689
63967,0.312394684,-0.049996914,8.026866786,2.23E-13,1.54E-12,19.58402612
51013,0.312281318,-0.05627902,6.396228433,1.75E-09,7.78E-09,10.75929376
892,0.312215108,-0.021968905,4.177673056,4.88E-05,0.000117657,0.835663072
100130370,0.312214888,-0.036147835,4.211950787,4.26E-05,0.000103577,0.965271235
116443,0.312210248,-0.028296998,5.732234912,4.96E-08,1.83E-07,7.492746806
9391,0.312189382,-0.022144999,4.098740123,6.65E-05,0.000156934,0.540434502
26762,0.312162765,-0.025001285,3.267702389,0.001332859,0.00250939,-2.281673756
348487,0.312126303,-0.037161588,3.752393001,0.000246356,0.000528123,-0.700547969
10514,0.312078722,-0.023943825,3.830470332,0.000184745,0.000404892,-0.428668378
100133036 /// 101928261 /// 102724314,0.311795682,-0.034459871,4.26427376,3.46E-05,8.50E-05,1.164732369
405753,0.311728,-0.051146681,2.776455453,0.0061669,0.010298878,-3.688026579
79798,0.311684058,-0.019063376,2.685951873,0.00801326,0.01309449,-3.924660743
126638,0.311683979,-0.030298889,3.720609769,0.000276634,0.000588019,-0.8098859
147746,0.311638814,-0.020992916,5.367217806,2.84E-07,9.42E-07,5.796237369
100506797,0.31145842,-0.029248956,3.156719925,0.001914559,0.003505619,-2.617085317
89782,0.311449399,-0.011000784,3.466443822,0.000681011,0.001350235,-1.655939485
5153,0.311330756,-0.031005985,4.279838594,3.25E-05,8.03E-05,1.224443439
100289373,0.311288261,-0.037179888,6.157702907,5.97E-09,2.47E-08,9.560591814
129685,0.311273428,-0.058652647,5.450128113,1.92E-07,6.52E-07,6.174978234
81551,0.311175145,-0.041994607,4.627464678,7.72E-06,2.11E-05,2.601978855
11189,0.311165143,-0.043591121,4.118752932,6.15E-05,0.000146032,0.614859546
140893,0.310999079,-0.027919828,3.900595787,0.000142143,0.000317829,-0.180532901
219690,0.310985227,-0.021417645,4.783505702,3.95E-06,1.13E-05,3.246892698
9130,0.31097121,0.009165477,2.241201275,0.02642041,0.038947052,-4.982285223
101928158,0.310965342,-0.036534557,2.860581634,0.004806752,0.008214241,-3.46170607
113178 /// 113179,0.310928525,-0.031444519,2.254462066,0.025555279,0.037804189,-4.953322319
8664,0.310920088,-0.021743155,3.761690891,0.000238109,0.000512,-0.668415425
63027,0.310788271,0.006396559,4.468234249,1.51E-05,3.93E-05,1.960673393
9081 /// 442862 /// 100509646,0.310785793,-0.035702145,4.459305731,1.56E-05,4.06E-05,1.925225065
3792,0.310663811,-0.037216327,3.696920018,0.000301458,0.000636395,-0.890874929
149345,0.310596577,3.35E-05,2.82860014,0.005287768,0.008949568,-3.548462749
7525,0.310591873,-0.030552211,2.573725704,0.010989421,0.017482553,-4.208142619
100133985,0.310340704,-0.05316971,4.372953389,2.23E-05,5.64E-05,1.585229383
57644,0.310326685,-0.052101054,2.847649392,0.004996229,0.008504162,-3.496893418
220382,0.310295958,-0.107385083,5.310417342,3.70E-07,1.21E-06,5.539074791
388591,0.31016482,-0.031383957,6.345970475,2.28E-09,9.94E-09,10.50447879
4985,0.309972206,-0.022335963,4.612046328,8.24E-06,2.24E-05,2.539132012
10463,0.30992392,0.006320736,2.659018084,0.008652086,0.014037745,-3.993703708
102723542,0.309919379,0.013314554,4.062001677,7.67E-05,0.000179357,0.404569893
493753,0.309786237,-0.038043722,3.251327201,0.001406838,0.002638906,-2.331800181
26083,0.30974967,-0.028735213,4.439102094,1.70E-05,4.39E-05,1.845214514
222234,0.309685911,-0.020734519,2.81111775,0.005568892,0.009381104,-3.59551541
29894,0.309614794,-0.034046587,5.218471532,5.65E-07,1.81E-06,5.126829484
134353,0.309529124,-0.021449212,5.25777393,4.72E-07,1.53E-06,5.302429339
64983,0.309451813,-0.031150976,3.142873577,0.002001746,0.003649075,-2.658217673
10244,0.309395851,-0.020363796,4.901797731,2.35E-06,6.94E-06,3.746371859
157769,0.309343571,-0.021952436,4.95295588,1.88E-06,5.61E-06,3.965154907
80339,0.309330646,-0.065163569,2.158875574,0.032384168,0.046888571,-5.158500804
4050,0.309250997,0.032597259,2.388079939,0.018129285,0.027618063,-4.652587679
337,0.309230159,-0.026345498,3.780619899,0.000222122,0.000479792,-0.602794042
649,0.309200239,-0.051094038,4.412083215,1.90E-05,4.87E-05,1.738654925
9260,0.309178018,-0.027877932,3.504100323,0.000597685,0.001198272,-1.533801904
54534,0.309165745,-0.024438098,3.006840401,0.003076456,0.005437417,-3.053810247
8930,0.309073557,0.017516081,2.83913066,0.005124741,0.008700306,-3.519993548
84735,0.30881525,-0.037618306,3.528976957,0.000547999,0.001105141,-1.452497406
8841,0.30880392,-0.010325494,3.919420869,0.000132407,0.000297916,-0.113290636
340069,0.308777231,-0.02341303,5.404811824,2.38E-07,7.97E-07,5.967477821
9753,0.308768836,-0.047449197,5.325121426,3.45E-07,1.14E-06,5.605465722
54474,0.308759733,-0.029135984,2.206398885,0.028813442,0.042167846,-5.057534635
64857,0.308672213,-0.02059173,2.877147359,0.004573633,0.007852665,-3.416422768
84243,0.308390736,-0.033050244,6.094341203,8.23E-09,3.35E-08,9.246799697
488,0.3083483,-0.041750633,4.544342627,1.10E-05,2.92E-05,2.265057121
